a2cloud_score,Cost(per hour USD),Instance,cluster
1.55032099,0.0208,t3.small,1
7.318509497999999,0.045,Lin.C,0
7.568070057000001,0.09,Lin.M,0
3.73260561,0.0376,t3a.medium,3
2.415743973,0.1,c4.large,1
5.21321015,0.0832,B2ms,3
4.245740835,0.095,N1s2,3
1.0954567590000002,0.085,c5.large,1
4.413290931000001,0.095,N1s2,3
3.825942219,0.1,m4.large,3
2.514525682,0.1,c4.large,1
1.875266545,0.0208,t3.small,1
5.289730521,0.0832,B2ms,3
1.25063732,0.0752,t3a.large,1
2.391436145,0.0752,t3a.large,1
3.616887805,0.0376,t3a.medium,3
1.5539700280000002,0.0208,t3.small,1
3.710969632,0.0376,t3a.medium,3
3.117643115,0.0709,N1cc,3
1.5066611090000002,0.0376,t3a.medium,1
3.6976013180000002,0.023,t2.small,3
1.250672554,0.0752,t3a.large,1
2.345943859,0.1,c4.large,1
1.50108388,0.0376,t3a.medium,1
3.882392556,0.133,r4.large,3
1.250689889,0.0752,t3a.large,1
