a2cloud_score,Cost(per hour USD),Instance,cluster
1.804631721,0.0208,t3.small,2
2.387694793,0.1,c4.large,2
1.0,0.085,c5.large,2
2.973973338,0.133,r4.large,0
7.43037915,0.09,Lin.M,3
4.4337463569999995,0.0464,t2.medium,0
5.210058074,0.0832,B2ms,3
3.442293653,0.126,E2s,0
3.11307389,0.133,r4.large,0
3.498224819,0.126,E2s,0
5.231535474,0.095,N1s2,3
1.519127278,0.0752,t3a.large,2
5.183688255,0.0832,B2ms,3
4.134802036,0.095,N1s2,0
4.167991194,0.1184,N1M2,0
4.219087277,0.023,t2.small,0
6.587812781,0.09,Lin.M,3
4.34696651,0.0709,N1cc,0
4.198361124,0.0464,t2.medium,0
4.031996953,0.095,N1s2,0
4.182148022,0.1184,N1M2,0
1.0,0.085,c5.large,2
5.8312631139999995,0.045,Lin.C,3
4.708843326,0.085,F2s,0
3.1471096039999997,0.1,c4.large,0
1.5112642330000001,0.0752,t3a.large,2
3.499001647,0.126,E2s,0
3.9121193069999998,0.0709,N1cc,0
1.0,0.085,c5.large,2
3.8151087360000004,0.023,t2.small,0
1.0,0.085,c5.large,2
3.981582786,0.095,N1s2,0
7.819398799,0.0188,t3a.small,3
4.552854723,0.133,r4.large,0
3.07537954,0.1,c4.large,0
1.642518062,0.0208,t3.small,2
3.788980792,0.0376,t3a.medium,0
7.173641385,0.09,Lin.M,3
3.4566766,0.1,m4.large,0
4.5310539080000005,0.085,F2s,0
6.057325855,0.045,Lin.C,3
4.043907772,0.0376,t3a.medium,0
2.349441961,0.1,c4.large,2
3.0417414419999997,0.133,r4.large,0
3.2447401960000004,0.1,m4.large,0
4.144806234,0.095,N1s2,0
3.974003807,0.0709,N1cc,0
4.735488284,0.0832,B2ms,0
3.845201242,0.0928,t2.large,0
3.92537394,0.0464,t2.medium,0
1.3924036169999998,0.0752,t3a.large,2
4.540361215,0.1184,N1M2,0
7.206139445,0.09,Lin.M,3
5.970821247000001,0.045,Lin.C,3
5.23730977,0.015,Lin.G,3
3.759987843,0.126,E2s,0
2.292904273,0.1,c4.large,2
3.7415975969999997,0.0464,t2.medium,0
7.056432427000001,0.09,Lin.M,3
4.274093144,0.0709,N1cc,0
10.0,0.0188,t3a.small,1
3.0265517230000003,0.133,r4.large,0
3.318733098,0.1,m4.large,0
1.4810963080000001,0.0752,t3a.large,2
6.824559885,0.045,Lin.C,3
5.2339647330000005,0.0832,B2ms,3
6.127019688,0.045,Lin.C,3
1.394998426,0.0752,t3a.large,2
3.5569793830000003,0.0464,t2.medium,0
4.796442236,0.0832,B2ms,0
3.804893473,0.0709,N1cc,0
10.0,0.0188,t3a.small,1
5.4783283460000005,0.015,Lin.G,3
2.292225813,0.1,c4.large,2
4.263073683,0.023,t2.small,0
10.0,0.0188,t3a.small,1
4.3768043169999995,0.085,F2s,0
5.111369725,0.0709,N1cc,3
1.2434497279999999,0.0752,t3a.large,2
6.614874456,0.045,Lin.C,3
4.375391911,0.095,N1s2,0
3.471974659,0.126,E2s,0
3.9233718389999996,0.0376,t3a.medium,0
4.733313615,0.085,F2s,0
3.471432301,0.126,E2s,0
4.533938139,0.085,F2s,0
4.112225952,0.0376,t3a.medium,0
10.0,0.0188,t3a.small,1
6.286042946,0.045,Lin.C,3
4.298887646,0.1,m4.large,0
4.032096964,0.0376,t3a.medium,0
3.6409596239999997,0.1,m4.large,0
6.424717389,0.09,Lin.M,3
4.422087547,0.045,Lin.C,0
4.101931103,0.0376,t3a.medium,0
3.694529545,0.0928,t2.large,0
3.596212095,0.0928,t2.large,0
5.398998947999999,0.015,Lin.G,3
3.4815845989999996,0.0928,t2.large,0
5.978271962000001,0.045,Lin.C,3
3.70088608,0.0928,t2.large,0
4.624100161,0.085,F2s,0
5.015783935,0.0464,t2.medium,3
3.354721195,0.1,m4.large,0
2.455482957,0.1,c4.large,2
1.0,0.085,c5.large,2
2.972400752,0.133,r4.large,0
3.5985588219999998,0.023,t2.small,0
1.0,0.085,c5.large,2
4.500784914,0.1184,N1M2,0
5.785015314,0.045,Lin.C,3
4.586636316,0.095,N1s2,0
3.919723041,0.0709,N1cc,0
6.129870373999999,0.045,Lin.C,3
3.955308782,0.0376,t3a.medium,0
3.973196549,0.0709,N1cc,0
4.754126499,0.095,N1s2,0
3.469746602,0.1,m4.large,0
4.448028032,0.045,Lin.C,0
9.86611661,0.0832,B2ms,1
5.393166067999999,0.015,Lin.G,3
1.203310735,0.0752,t3a.large,2
4.052503395,0.0376,t3a.medium,0
1.0,0.085,c5.large,2
6.48910231,0.09,Lin.M,3
6.128374397999999,0.045,Lin.C,3
3.9209707160000002,0.0709,N1cc,0
4.1328627430000004,0.1184,N1M2,0
4.731629876,0.0832,B2ms,0
3.7024110980000002,0.0928,t2.large,0
1.098316354,0.0752,t3a.large,2
3.35313291,0.1,m4.large,0
4.64146559,0.133,r4.large,0
3.1088589,0.0928,t2.large,0
3.811011162,0.0376,t3a.medium,0
4.033235816,0.1184,N1M2,0
4.133184314,0.0709,N1cc,0
1.0,0.085,c5.large,2
3.670212549,0.126,E2s,0
3.1030705339999995,0.1,c4.large,0
1.0,0.085,c5.large,2
6.422070883,0.09,Lin.M,3
1.677992353,0.0208,t3.small,2
3.712769815,0.023,t2.small,0
6.352415231,0.015,Lin.G,3
10.0,0.0188,t3a.small,1
5.107299673,0.0832,B2ms,3
4.67777203,0.1184,N1M2,0
3.4282295510000003,0.126,E2s,0
1.839247497,0.0208,t3.small,2
3.714980966,0.023,t2.small,0
